Time,Temperature,Pressure1,Sound,Light,Pressure2,Humidity,Comment
, C, kPa, dBA, lx, kPa, %RH,
11,33.4,101.8,76.6,60,97.95,46.9,
11.02,33.6,101.6,40,61,97.92,47,
11.04,33.6,101.6,77.3,61,97.93,47,
11.06,33.6,101.8,59.9,62,97.95,46.9,
11.08,33.3,101.8,40,59,97.92,46.9,
11.1,33.3,101.8,76.4,59,97.93,47,
11.12,33.4,101.8,71.5,61,97.94,47.1,
11.14,33.4,101.8,62.1,63,97.95,47.1,
11.16,33.3,101.8,40,61,97.9,47,
11.18,33.3,102,75.7,60,97.9,47,
11.2,33.6,102,48.3,61,97.94,46.9,
11.22,33.8,102,40,61,97.94,46.9,
11.24,33.7,102.2,60.2,50,97.91,46.9,
11.25,33.6,102.4,47.2,50,97.88,46.9,
11.27,33.6,102.4,41.8,46,97.94,47,
11.29,33.5,102.2,41.1,46,97.92,47,
11.31,33.5,102.4,71.3,46,97.94,47.1,
11.33,33.5,102.4,43,46,97.93,47.2,
11.35,33.5,101.8,68.4,46,97.95,47.2,
11.37,33.5,101.8,77.8,57,97.94,47.2,
11.39,33.5,101.8,71.2,50,97.93,47.2,
11.41,33.5,102.2,55.4,47,97.95,47.1,
11.43,33.5,102.4,64.9,47,97.94,47.1,
11.45,33.6,102.4,66.5,46,97.92,47,
11.47,33.6,102.4,73.4,47,97.93,46.9,
11.48,33.1,102.4,49.1,47,97.92,46.8,
11.5,33.1,102,41.8,55,97.93,46.7,
11.52,33.1,101.8,70.2,55,97.92,46.6,
11.54,33.3,101.8,78.4,53,97.94,46.5,
11.56,33.2,101.8,67.8,60,97.94,46.7,
11.58,33.6,102,69,61,97.91,46.7,
12,33.6,102,68.4,60,97.95,46.8,
12.02,33.5,101.8,66.3,58,97.92,46.9,
12.04,33.5,101.8,61.9,56,97.93,47.1,
12.06,33.5,102,49.4,49,97.94,47.2,
12.08,33.5,102,73.1,62,97.95,47.2,
12.01,33.4,102,42,65,97.94,47.2,
12.12,33.3,102,65.1,64,97.92,47.2,
12.13,33.3,102,40,64,97.91,47.1,
12.15,33.3,102,63,63,97.92,46.9,
12.17,33.4,102,74.7,63,97.91,46.7,
12.19,33.3,102,63.6,63,97.94,46.6,
12.21,33.3,101.8,69.1,64,97.9,46.6,
12.23,33.2,102,73.2,56,97.92,46.5,
12.25,33.2,102,65,62,97.91,46.6,
12.27,33.1,102,57.9,63,97.93,46.6,
12.29,33.5,102,40,62,97.91,46.8,
12.31,33.3,102,48.9,63,97.95,46.8,
12.33,33.2,102,68.4,58,97.93,46.9,
12.35,33.2,102.2,55.6,60,97.93,46.8,
12.36,33.6,102,74.4,63,97.95,46.7,
12.38,33.3,102,42.4,63,97.95,46.6,
12.4,33,102,76.8,64,97.92,46.5,
12.42,33.3,102.2,73.7,62,97.94,46.4,
12.44,33.6,102,60.8,63,97.94,46.3,
12.46,33.3,102,74.1,54,97.91,46.3,
12.48,33.4,102.2,70.6,60,97.92,46.3,
12.5,33.5,102,64.8,56,97.93,46.3,
12.52,33.2,102.2,66.3,61,97.94,46.3,
12.54,33.6,102,40,62,97.93,46.3,
12.56,33.3,102.2,62.3,62,97.92,46.3,
12.58,33.6,102,69.1,62,97.95,46.5,
0.541666667,33.6,102,60.9,61,97.93,46.8,
13.01,33.5,102.2,78.7,55,97.91,46.9,
13.03,33.6,97.4,63.2,55,97.93,47,
13.05,33.4,97.4,74.3,58,97.91,47,
13.07,33.5,97.6,45.1,57,97.91,46.9,
13.09,33.4,97.4,79.1,52,97.9,46.9,
13.11,33.4,97.6,80.6,53,97.92,46.9,
13.13,33.5,97.2,74.6,51,97.93,47,
13.15,33.2,96.8,75.8,53,97.94,47,
13.17,33.7,96.8,40,59,97.93,47,
13.19,33.5,96.8,42.7,48,97.94,46.8,
13.21,33.5,96.8,73.7,68,97.93,46.6,
13.23,33.3,96.8,53.6,68,97.93,46.5,
13.24,33.5,96.8,62.2,69,97.93,46.5,
13.26,33.6,96.8,55.2,69,97.95,46.6,
13.28,33.8,96.8,69.8,85,97.92,46.5,
13.3,33.6,96.8,40,93,97.9,46.6,
13.32,33.3,96.8,42.6,94,97.94,46.5,
13.34,33.5,96.8,53.1,39,97.92,46.5,
13.36,33.3,96.8,75.3,33,97.91,46.5,
13.38,33.3,96.8,40,34,97.91,46.4,
13.4,33.2,96.8,51.5,34,97.9,46.4,
13.42,33.5,96.8,40,80,97.94,46.4,
13.44,33.2,96.8,58.2,90,97.92,46.3,
13.46,33.4,96.8,61.1,93,97.96,46.2,
13.48,33.4,96.8,66.4,94,97.92,46.1,
13.49,33.4,96.8,65.2,94,97.95,46.1,
13.51,33.3,96.8,46.6,95,97.93,46.2,
13.53,33.3,96.8,63.7,97,97.92,46.2,
13.55,33.5,96.8,69.7,230,97.94,46.2,
13.57,33.4,96.8,51.8,307,97.92,46.4,
13.59,33.6,96.8,68.7,311,97.93,46.6,
14.01,33.4,96.8,70.9,310,97.92,46.7,
14.03,33.1,96.8,50.8,139,97.93,46.9,
14.05,33.2,96.8,40,107,97.93,46.9,
14.07,33.6,96.8,69.6,107,97.91,47,
14.09,33.6,96.8,40,58,97.91,47,
14.11,33.6,96.8,40,50,97.97,47.1,
14.12,33.5,96.8,40,54,97.92,47,
14.14,33.4,96.8,61.6,10,97.93,47.1,
14.16,33.2,96.8,64.7,7,97.93,47.1,
14.18,33.3,96.8,40,7,97.91,47.2,
14.2,33.6,96.8,40,7,97.92,47.2,
14.22,33.5,96.8,69.1,7,97.92,47.2,
14.24,33.5,96.8,48,7,97.91,47.2,
14.26,33,96.8,72.6,2,97.95,47.1,
14.28,33.3,96.8,40,1,97.9,47.1,
14.3,33.3,96.8,54.8,2,97.91,47.2,
14.32,33.5,96.8,75.7,7,97.9,47.2,
14.34,33.4,96.8,50.8,7,97.93,47.1,
14.36,33,96.8,52.6,7,97.94,46.9,
14.37,33.2,96.8,70.8,7,97.93,46.9,
14.39,33.1,96.8,40,18,97.94,47,
14.41,33.3,96.8,40,56,97.93,47.1,
14.43,33.6,96.8,40,62,97.9,47.1,
14.45,33.3,96.8,40,62,97.92,46.9,
14.47,33.3,96.8,67.5,63,97.93,46.9,
14.49,33.6,96.8,63.5,90,97.95,47,
14.51,33.4,96.8,69.4,111,97.9,47.1,
14.53,33.2,96.8,56.9,113,97.93,47.1,
14.55,33.3,96.8,52.6,114,97.93,47.2,
14.57,33.4,96.8,71.5,123,97.96,47.1,
14.59,33.6,96.8,40,124,97.94,47.1,
15,33.5,96.8,40,66,97.96,47.1,
15.02,33.4,96.8,67.5,64,97.93,47.1,
15.04,33.6,96.8,71.8,63,97.93,47,
15.06,33.4,96.8,53.8,64,97.97,47,
15.08,33.5,96.8,40,64,97.91,46.6,
15.1,33.3,96.8,61.5,64,97.95,46.3,
15.12,33,96.8,40,64,97.94,46.4,
15.14,33.2,96.8,53.1,65,97.93,46.6,
15.16,33.5,96.8,60,65,97.94,46.7,
15.18,33.2,96.8,64.1,65,97.95,46.8,
15.2,33.3,96.8,69.9,65,97.91,46.8,
15.22,33.2,96.8,40,65,97.94,46.8,
15.24,33.2,96.8,66.7,66,97.93,46.7,
15.25,33.4,96.8,42.7,65,97.92,46.7,
15.27,33.1,96.8,40,66,97.94,46.4,
15.29,33.4,96.8,40,66,97.92,46.2,
15.31,32.9,96.8,60.9,66,97.92,46,
15.33,33.2,96.8,72,66,97.96,45.9,
15.35,33,96.8,63.9,66,97.94,45.8,
15.37,33.1,96.8,70.4,66,97.95,45.8,
15.39,33.3,96.8,65.7,66,97.93,45.8,
15.41,33,97,72.2,66,97.92,45.8,
15.43,33.3,96.8,70.3,66,97.92,45.9,
15.45,33,96.8,59.7,66,97.93,45.8,
15.47,33.1,96.8,58.6,66,97.92,45.8,
15.48,33.3,96.8,67.2,67,97.94,45.7,
15.5,33.1,96.8,40,67,97.97,45.7,
15.52,32.9,97,68.5,66,97.97,45.7,
15.54,33.2,96.8,52.8,66,97.96,45.7,
15.56,33.2,96.8,56.3,67,97.93,45.6,
15.58,32.9,96.8,68.5,66,97.92,45.6,
16,33,97,52.8,66,97.97,45.6,
16.02,33,97,62.6,67,97.92,45.6,
16.04,32.9,97,47.1,67,97.95,45.6,
16.06,33.1,97,75.6,67,97.95,45.6,
16.08,33.1,97,57,67,97.94,45.6,
16.01,33.1,97,40,67,97.97,45.7,
16.12,33.3,96.8,40.7,67,97.91,45.9,
16.13,33,97,64.8,67,97.94,46.1,
16.15,32.7,97,40,67,97.95,46.1,
16.17,32.9,96.8,46.1,67,97.94,46.1,
16.19,32.7,96.8,51.9,68,97.94,46.1,
16.21,31.8,96.8,72.2,60,97.96,45.9,
16.23,31,97,54.6,67,97.95,45.8,
16.25,30.7,97,65.4,61,97.93,45.8,
16.27,30.2,96.8,66.1,56,97.93,46,
16.29,29.2,97,40,64,97.93,46.1,
16.31,28.5,97,64.5,62,97.95,46.2,
16.33,28.3,97,69.5,60,97.91,46.3,
16.35,27.8,96.8,40,63,97.94,46.4,
16.36,27.1,97,79.7,64,97.95,46.4,
16.38,26.4,97,40,63,97.94,46.5,
16.4,26.3,97,66.7,64,97.93,46.5,
16.42,26,97,64.5,61,97.95,46.5,
16.44,25.3,97,40,61,97.93,46.5,
16.46,25,97,61.7,62,97.94,46.6,
16.48,24.3,97,61.7,64,97.92,46.6,
16.5,24.2,97,54.3,57,97.94,46.6,
16.52,24,97,58.8,56,97.93,46.6,
16.54,24,97,67.9,56,97.95,46.6,
16.56,23.4,97,63.3,57,97.93,46.7,
16.58,23,97,40,61,97.96,46.7,
0.708333333,22.6,97,43.6,64,97.92,46.7,
